area_code,area_name,census_geography,all_household,one_pers_all,one_pers_65,one_pers_other,fam_all,fam_65,fam_mar_all,fam_mar_no_ch,fam_mar_ch,fam_mar_non_ch,fam_cohab_all,fam_cohab_no_ch,fam_cohab_ch,fam_cohab_non_ch,fam_lone_all,fam_lone_ch,fam_lone_non_ch,other_hh_all,other_hh_ch,other_hh_stud,other_hh_65,other,one_pers_all_perc,fam_mar_all_perc,fam_cohab_all_perc,fam_lone_all_perc,centroid_x,centroid_y
W00005833,,oa,127,21,9,12,98,19,62,29,24,9,13,10,3,0,4,1,3,8,2,0,0,6,16.5,48.8,10.2,3.1,316492.04949999996,173481.869
W00005831,,oa,131,42,16,26,83,7,47,18,23,6,10,3,6,1,19,12,7,6,4,0,0,2,32.1,35.9,7.6,14.5,316398.51300000004,173011.8045
W00005835,,oa,122,37,20,17,75,20,41,16,20,5,6,3,3,0,8,3,5,10,5,0,0,5,30.3,33.6,4.9,6.6,317131.15449999995,173229.195
W00008897,,oa,113,63,13,50,40,0,22,14,7,1,12,8,3,1,6,5,1,10,5,0,0,5,55.8,19.5,10.6,5.3,315829.221,177097.15149999998
W00009224,,oa,136,50,16,34,77,12,37,14,18,5,12,7,4,1,16,12,4,9,3,0,1,5,36.8,27.2,8.8,11.8,315909.9565,178448.6445
W00009222,,oa,121,83,20,63,30,2,8,3,4,1,6,5,1,0,14,9,5,8,0,0,0,8,68.6,6.6,5.0,11.6,315872.13899999997,178661.4995
W00008863,,oa,120,44,11,33,61,4,36,15,15,6,10,6,4,0,11,6,5,15,1,1,1,12,36.7,30.0,8.3,9.2,316185.483,176753.2415
W00009077,,oa,133,17,9,8,70,10,37,6,21,10,15,11,4,0,8,3,5,46,3,20,0,23,12.8,27.8,11.3,6.0,317327.2115,178699.91950000002
W00009613,,oa,128,33,17,16,86,8,49,17,18,14,11,2,7,2,18,16,2,9,2,0,0,7,25.8,38.3,8.6,14.1,322234.07550000004,178074.809
W00009610,,oa,126,24,17,7,84,4,61,17,29,15,13,5,5,3,6,1,5,18,7,0,0,11,19.1,48.4,10.3,4.8,321102.7975,178816.793
W00010232,,oa,45,12,5,7,23,2,13,5,8,0,5,2,3,0,3,2,1,10,0,2,0,8,26.7,28.9,11.1,6.7,317485.245,178177.4515
W00008856,,oa,119,26,7,19,84,7,43,18,17,8,21,14,7,0,13,9,4,9,3,0,0,6,21.9,36.1,17.6,10.9,315685.123,176978
W00009244,,oa,117,34,5,29,82,3,55,15,28,12,13,9,3,1,11,10,1,1,1,0,0,0,29.1,47.0,11.1,9.4,316995.1235,183233.1515
W00009243,,oa,129,19,4,15,103,7,81,31,37,13,9,5,4,0,6,4,2,7,4,0,0,3,14.7,62.8,7.0,4.7,317339.947,183206.9995
W00009563,,oa,139,58,13,45,55,5,26,11,13,2,11,7,4,0,13,7,6,26,7,5,0,14,41.7,18.7,7.9,9.4,317641.13049999997,176377.235
W00009309,,oa,128,44,27,17,77,7,41,9,16,16,11,4,7,0,18,8,10,7,3,0,0,4,34.4,32.0,8.6,14.1,321942.878,180195.8115
W00009566,,oa,121,35,6,29,58,2,34,7,23,4,12,8,3,1,10,4,6,28,14,1,0,13,28.9,28.1,9.9,8.3,317355.2695,176275.62949999998
W00009567,,oa,114,50,12,38,50,5,19,1,16,2,9,7,2,0,17,14,3,14,1,0,1,12,43.9,16.7,7.9,14.9,316982.0595,176067.948
W00009564,,oa,127,35,4,31,75,6,32,12,15,5,22,13,9,0,15,10,5,17,4,0,1,12,27.6,25.2,17.3,11.8,317008.5405,176263.574
W00010115,,oa,68,16,3,13,12,1,4,2,2,0,3,2,1,0,4,4,0,40,1,31,0,8,23.5,5.9,4.4,5.9,318442.2595,177125.75
W00009314,,oa,136,67,13,54,57,9,21,8,8,5,12,9,3,0,15,14,1,12,4,3,0,5,49.3,15.4,8.8,11.0,321097.84550000005,179400.3135
W00010215,,oa,131,49,2,47,63,0,23,15,8,0,35,33,2,0,5,5,0,19,1,2,0,16,37.4,17.6,26.7,3.8,319072.1115,175224.391
W00010213,,oa,64,16,6,10,41,6,29,13,9,7,2,2,0,0,4,2,2,7,4,0,0,3,25.0,45.3,3.1,6.3,316109.55299999996,176291.327
W00009223,,oa,114,37,15,22,68,7,32,10,16,6,11,3,4,4,18,11,7,9,4,0,0,5,32.5,28.1,9.6,15.8,316139.91949999996,178436.476
W00009576,,oa,125,58,24,34,59,4,26,10,11,5,9,4,4,1,20,12,8,8,4,0,0,4,46.4,20.8,7.2,16.0,316453.1095,177802.31449999998
W00009579,,oa,129,71,40,31,45,5,21,14,3,4,15,8,6,1,4,1,3,13,1,0,1,11,55.0,16.3,11.6,3.1,316567.775,177242.803
W00008966,,oa,109,19,15,4,77,14,52,19,26,7,6,1,4,1,5,1,4,13,7,0,1,5,17.4,47.7,5.5,4.6,318334.0165,180127.7065
W00009137,,oa,119,36,14,22,67,4,26,11,12,3,15,13,2,0,22,17,5,16,2,1,0,13,30.3,21.8,12.6,18.5,317469.5325,175381.889
W00009134,,oa,129,47,14,33,66,11,29,5,19,5,10,4,6,0,16,13,3,16,2,0,0,14,36.4,22.5,7.8,12.4,317313.40150000004,175444.864
W00009130,,oa,137,63,20,43,57,2,25,8,16,1,14,8,5,1,16,11,5,17,2,2,1,12,46.0,18.2,10.2,11.7,317410.7215,175560.18949999998
W00009139,,oa,121,33,22,11,80,12,54,15,30,9,7,5,2,0,7,2,5,8,2,0,1,5,27.3,44.6,5.8,5.8,317213.3995,179454.122
W00008885,,oa,192,46,17,29,133,7,49,11,28,10,21,13,6,2,56,47,9,13,6,0,3,4,24.0,25.5,10.9,29.2,316766.7785,175765.7525
W00009545,,oa,121,33,15,18,84,16,58,24,24,10,4,3,1,0,6,6,0,4,1,0,1,2,27.3,47.9,3.3,5.0,315820.94350000005,180958.152
W00009541,,oa,114,31,17,14,81,14,56,18,33,5,3,3,0,0,8,3,5,2,0,0,0,2,27.2,49.1,2.6,7.0,315927.7925,181267.7745
W00009730,,oa,124,42,27,15,71,17,31,10,14,7,6,4,2,0,17,9,8,11,1,1,0,9,33.9,25.0,4.8,13.7,316043.05299999996,179721.33500000002
W00010162,,oa,114,28,12,16,78,10,44,13,24,7,15,7,8,0,9,7,2,8,2,0,1,5,24.6,38.6,13.2,7.9,316946.25899999996,180409.0505
W00009101,,oa,138,33,4,29,74,6,42,5,28,9,9,6,3,0,17,13,4,31,16,0,0,15,23.9,30.4,6.5,12.3,317864.9045,175108.438
W00009289,,oa,129,36,18,18,82,9,39,11,18,10,11,5,6,0,23,17,6,11,4,0,2,5,27.9,30.2,8.5,17.8,317139.77749999997,182008.352
W00009554,,oa,112,48,31,17,58,12,35,13,15,7,5,4,1,0,6,1,5,6,2,0,0,4,42.9,31.3,4.5,5.4,316310.5695,182311.538
W00009115,,oa,107,25,11,14,71,5,40,10,18,12,7,2,4,1,19,11,8,11,8,0,0,3,23.4,37.4,6.5,17.8,318356.774,174684.973
W00010140,,oa,152,23,1,22,104,2,74,18,44,12,15,8,6,1,13,11,2,25,8,0,0,17,15.1,48.7,9.9,8.6,315786.78599999996,176105.634
W00010120,,oa,210,137,3,134,63,0,27,15,11,1,30,26,4,0,6,5,1,10,1,2,0,7,65.2,12.9,14.3,2.9,319517.217,174681.0815
W00009429,,oa,156,73,1,72,44,0,14,5,5,4,27,25,2,0,3,3,0,39,0,11,0,28,46.8,9.0,17.3,1.9,319355.0375,177649.352
W00009622,,oa,120,34,18,16,79,7,28,8,12,8,12,1,10,1,32,17,15,7,5,0,0,2,28.3,23.3,10.0,26.7,322585.2845,179717.3235
W00008862,,oa,127,53,22,31,66,7,28,9,11,8,12,8,4,0,19,9,10,8,1,0,0,7,41.7,22.0,9.4,15.0,315700.3425,176862.739
W00008866,,oa,138,50,11,39,67,5,38,21,14,3,12,7,5,0,12,7,5,21,2,0,0,19,36.2,27.5,8.7,8.7,316040.7,176798.728
W00008867,,oa,124,45,11,34,64,5,33,12,16,5,16,12,4,0,10,6,4,15,4,0,1,10,36.3,26.6,12.9,8.1,315774.0685,176737.3715
W00008860,,oa,139,56,20,36,67,0,33,13,16,4,28,21,7,0,6,2,4,16,2,0,0,14,40.3,23.7,20.1,4.3,316286.73199999996,176837.94199999998
W00008869,,oa,149,56,12,44,80,5,40,15,22,3,23,17,5,1,12,6,6,13,1,0,1,11,37.6,26.8,15.4,8.1,316234.918,176680.2645
W00009342,,oa,155,37,8,29,113,6,41,17,15,9,25,8,14,3,41,31,10,5,4,0,0,1,23.9,26.5,16.1,26.5,320811.3355,181057.514
W00009533,,oa,136,52,42,10,81,37,33,12,13,8,2,0,2,0,9,3,6,3,1,0,1,1,38.2,24.3,1.5,6.6,315825.00800000003,181920.96149999998
W00009636,,oa,120,43,7,36,66,3,33,12,15,6,10,5,5,0,20,13,7,11,2,0,0,9,35.8,27.5,8.3,16.7,320426.47250000003,176415.8695
W00009633,,oa,163,79,14,65,73,2,21,7,12,2,21,11,9,1,29,25,4,11,4,0,1,6,48.5,12.9,12.9,17.8,319823.07,176439.507
W00009164,,oa,115,21,13,8,90,13,56,14,37,5,7,4,3,0,14,6,8,4,1,0,0,3,18.3,48.7,6.1,12.2,317397.13300000003,180542.7015
W00009162,,oa,115,30,21,9,80,11,56,22,29,5,5,3,2,0,8,5,3,5,1,0,0,4,26.1,48.7,4.3,7.0,317158.93200000003,180401.66999999998
W00008923,,oa,141,36,11,25,42,3,16,7,7,2,16,8,8,0,7,4,3,63,2,37,0,24,25.5,11.3,11.3,5.0,318402.2025,178116.1975
W00008920,,oa,128,25,5,20,30,0,20,11,7,2,8,8,0,0,2,2,0,73,1,45,1,26,19.5,15.6,6.3,1.6,318358.5255,178451.44150000002
