area_code,area_name,census_geography,country_of_birth_all,europe_inc_uk,united_kingdom_channel_iom,england,northern_ireland,scotland,wales,united_kingdom_unspecified,channel_islands_isle_of_man,ireland,other_europe_total,eu_countries_total,germany,lithuania,poland,romania,eu_countries_other,rest_of_europe_total,turkey,europe_other,africa_total,north_africa,central_and_western_africa,nigeria,other_central_and_western_africa_other,south_and_eastern_africa,kenya,south_africa,zimbabwe,south_and_eastern_africa_other,middle_east_and_asia_total,middle_east,iran,middle_east_other,eastern_asia,china,hong_kong,eastern_asia_other,southern_asia,bangladesh,india,pakistan,southern_asia_other,south_east_asia,central_asia,americas_and_the_caribbean_total,north_americas_and_the_caribbean,the_caribbean,united_states_of_america,north_america_other,central_america,south_america,antarctica_and_oceania_total,australia,antarctica_and_oceania_other,country_of_birth_other,uk_total,europe_total,rest_of_world_total,uk_total_perc,europe_total_perc,rest_of_world_total_perc,centroid_x,centroid_y
W02000371,Cardiff 005,msoa,9110,8694,8404,1290,22,86,7005,1,3,32,255,234,41,1,72,7,113,21,7,14,98,24,18,5,13,56,4,15,18,19,249,61,8,53,46,18,19,9,97,9,42,34,12,42,3,50,41,17,17,7,0,9,19,8,11,0,8404,311,416,92.3,3.4,4.6,317748.78187170904,181776.48083822106
W02000392,Cardiff 026,msoa,8997,8456,8228,1644,34,82,6464,4,0,46,182,170,21,2,11,10,126,12,2,10,112,11,18,8,10,83,18,16,8,41,340,35,9,26,84,37,32,15,172,5,115,30,22,49,0,53,42,15,22,5,3,8,36,26,10,0,8228,240,541,91.5,2.7,6.0,314848.42851463234,178393.50785419712
W02000393,Cardiff 027,msoa,6342,6103,5978,570,12,24,5372,0,0,28,97,87,14,0,18,1,54,10,1,9,83,9,38,10,28,36,4,4,11,17,116,25,3,22,15,7,6,2,44,6,31,4,3,32,0,31,27,11,8,8,0,4,9,8,1,0,5978,135,239,94.3,2.1,3.8,313524.564148278,178341.46818095483
W02000397,Cardiff 031,msoa,6639,6381,6201,534,19,56,5589,3,3,38,139,134,26,3,23,2,80,5,1,4,68,6,15,3,12,47,1,6,6,34,157,37,6,31,26,19,3,4,59,8,32,6,13,35,0,21,18,8,6,4,0,3,12,11,1,0,6201,185,258,93.4,2.8,3.9,313843.8804615948,177536.20537766753
W02000405,Cardiff 039,msoa,7507,7157,6956,426,7,24,6493,6,2,32,167,158,18,22,37,11,70,9,0,9,125,33,36,8,28,56,1,21,8,26,183,23,4,19,31,16,14,1,115,92,8,14,1,14,0,38,30,24,3,3,3,5,4,3,1,0,6956,210,350,92.7,2.8,4.7,313246.7454842016,176588.02629035947
W02000407,Cardiff 041,msoa,6406,6213,6081,419,11,35,5616,0,0,25,107,99,14,1,21,3,60,8,2,6,67,13,17,6,11,37,2,4,2,29,105,22,4,18,16,14,1,1,52,26,18,5,3,15,0,19,18,11,7,0,0,1,2,0,2,0,6081,140,193,94.9,2.2,3.0,314486.2806574489,176231.06466606655
W02000242,The Vale of Glamorgan 006,msoa,7799,7622,7469,1321,28,73,6045,2,4,34,115,108,24,3,12,1,68,7,1,6,44,1,8,1,7,35,6,15,4,10,74,5,2,3,26,10,14,2,20,0,13,5,2,23,0,37,26,2,14,10,1,10,22,14,8,0,7469,160,177,95.8,2.1,2.3,314669.93862747983,172267.6511891968
W02000389,Cardiff 023,msoa,8344,7932,7715,954,10,64,6684,3,6,27,184,169,23,0,45,4,97,15,3,12,119,24,31,4,27,64,6,16,10,32,250,42,13,29,21,17,2,2,162,91,43,13,15,25,0,40,28,11,6,11,0,12,3,2,1,0,7715,232,412,92.5,2.8,4.9,315420.8362349494,179063.82508542857
W02000372,Cardiff 006,msoa,7613,7299,7122,1622,28,114,5345,13,3,31,143,127,22,5,11,9,80,16,5,11,72,23,3,1,2,46,5,19,6,16,189,24,4,20,48,19,27,2,88,2,64,13,9,29,0,39,33,2,24,7,0,6,14,11,3,0,7122,193,314,93.6,2.5,4.1,312376.4501658448,181867.14267800216
W02000380,Cardiff 014,msoa,7108,6892,6744,1383,25,69,5262,5,0,37,111,103,19,0,19,0,65,8,0,8,39,1,4,2,2,34,6,13,1,14,143,21,7,14,22,18,3,1,79,0,64,6,9,21,0,22,17,5,6,6,0,5,12,9,3,0,6744,156,216,94.9,2.2,3.0,310168.7783747446,180058.52360947695
