area_code,area_name,census_geography,all_households,owned,own_outright,own_mortgage,shared_own,rent_social,rent_council,rent_other,private_rent,private_landlord,private_other,rent_free,owned_perc,rent_social_perc,private_rent_perc,centroid_x,centroid_y
W01001872,Cardiff 038B,lsoa,662,354,159,195,3,152,13,139,140,130,10,13,53.5,23.0,21.1,320101.256454791,176637.50851963987
W01001874,Cardiff 038D,lsoa,723,184,60,124,0,401,25,376,111,97,14,27,25.4,55.5,15.4,320137.30289849115,175822.17738833692
W01001694,Cardiff 036A,lsoa,878,306,109,197,1,215,59,156,333,316,17,23,34.9,24.5,37.9,319770.33786633017,176939.30945680017
W01001870,Cardiff 037A,lsoa,580,407,145,262,2,75,50,25,93,84,9,3,70.2,12.9,16.0,320570.6143402268,176863.15638893892
W01001698,Cardiff 036E,lsoa,896,264,106,158,7,95,15,80,500,484,16,30,29.5,10.6,55.8,319933.1675215942,177301.0443730184
W01001871,Cardiff 037B,lsoa,679,251,101,150,1,349,232,117,64,58,6,14,37.0,51.4,9.4,321103.75706321304,176870.4021991125
W01001869,Cardiff 038A,lsoa,623,396,149,247,1,107,12,95,109,93,16,10,63.6,17.2,17.5,320390.2191841855,177262.7097622887
W01001697,Cardiff 036D,lsoa,762,414,151,263,3,133,20,113,196,179,17,16,54.3,17.5,25.7,320347.99810449546,177368.79813788252
W01001825,Cardiff 029D,lsoa,774,502,197,305,0,73,3,70,187,169,18,12,64.9,9.4,24.2,320471.2572158646,178077.523180278
W01001875,Cardiff 037C,lsoa,1140,574,115,459,2,281,136,145,256,227,29,27,50.4,24.6,22.5,321300.4592102816,176861.40127526995
W01001828,Cardiff 024D,lsoa,637,587,364,223,1,7,2,5,38,35,3,4,92.2,1.1,6.0,320299.15894635057,178900.51173020474
W01001868,Cardiff 022D,lsoa,609,374,180,194,0,177,129,48,53,42,11,5,61.4,29.1,8.7,322010.5197306038,179549.00423104814
W01001883,Cardiff 016C,lsoa,675,321,150,171,3,302,210,92,40,32,8,9,47.6,44.7,5.9,323115.9145795123,180503.62492457664
W01001884,Cardiff 013D,lsoa,527,13,3,10,0,504,21,483,8,6,2,2,2.5,95.6,1.5,323797.3879479243,180700.30339931662
W01001841,Cardiff 003A,lsoa,740,590,156,434,6,71,1,70,67,64,3,6,79.7,9.6,9.1,320329.08775458595,182754.37346167152
W01001882,Cardiff 011C,lsoa,739,563,130,433,13,24,9,15,137,124,13,2,76.2,3.2,18.5,324870.43581255013,180976.1092935418
W01001843,Cardiff 003C,lsoa,808,662,174,488,1,15,1,14,123,116,7,7,81.9,1.9,15.2,322733.18905566714,182591.84120133283
W01001842,Cardiff 003B,lsoa,726,531,120,411,4,9,0,9,177,169,8,5,73.1,1.2,24.4,321240.7082033047,183433.37667911957
W01001803,Cardiff 015A,lsoa,712,407,189,218,4,237,219,18,47,38,9,17,57.2,33.3,6.6,322211.1570869292,180247.56574680016
W01001805,Cardiff 015C,lsoa,645,352,148,204,1,245,222,23,35,30,5,12,54.6,38.0,5.4,321596.4101043559,180453.91432741637
W01001811,Cardiff 009A,lsoa,540,226,79,147,3,255,230,25,47,43,4,9,41.9,47.2,8.7,320892.52513633046,180477.00077959005
W01001823,Cardiff 029B,lsoa,521,439,190,249,0,7,2,5,75,72,3,0,84.3,1.3,14.4,319687.90128276823,178108.21388617714
W01001865,Cardiff 022C,lsoa,515,436,200,236,1,41,7,34,35,33,2,2,84.7,8.0,6.8,321965.15128197754,178202.9104247234
W01001876,Cardiff 037D,lsoa,678,308,116,192,0,276,234,42,74,65,9,20,45.4,40.7,10.9,320812.29467152053,177348.12850156237
W01001799,Cardiff 001D,lsoa,520,465,285,180,6,6,2,4,38,34,4,5,89.4,1.2,7.3,318474.7023998587,182283.07708122753
W01001844,Cardiff 003D,lsoa,841,545,149,396,24,100,3,97,167,152,15,5,64.8,11.9,19.9,320785.69507312286,182065.03534313262
W01001783,Cardiff 026E,lsoa,508,443,184,259,1,6,3,3,53,50,3,5,87.2,1.2,10.4,313850.8666340961,179335.12842716696
W01001790,Cardiff 023F,lsoa,500,307,132,175,3,125,90,35,64,58,6,1,61.4,25.0,12.8,315265.0054912311,179229.61493339727
W01001757,Cardiff 025C,lsoa,571,267,128,139,4,27,10,17,261,240,21,12,46.8,4.7,45.7,317275.0227764844,178985.37149432627
W01001774,Cardiff 018D,lsoa,541,493,253,240,0,5,4,1,41,37,4,2,91.1,0.9,7.6,317099.3418083176,179966.96331610254
W01001733,Cardiff 019B,lsoa,586,450,252,198,2,52,1,51,76,70,6,6,76.8,8.9,13.0,319266.44970719743,179964.98609239905
W01001812,Cardiff 017C,lsoa,484,350,139,211,3,69,63,6,57,53,4,5,72.3,14.3,11.8,319881.2394315599,180234.27738073564
W01001806,Cardiff 015D,lsoa,799,592,348,244,2,56,19,37,136,122,14,13,74.1,7.0,17.0,321317.65130765154,179803.20573472613
W01001867,Cardiff 016B,lsoa,545,223,88,135,5,248,198,50,50,46,4,19,40.9,45.5,9.2,322497.6754532895,179611.50930539166
W01001895,Cardiff 010D,lsoa,851,400,214,186,5,377,244,133,63,56,7,6,47.0,44.3,7.4,314073.8891558276,180705.13773265426
W01001848,Cardiff 012B,lsoa,618,558,299,259,0,5,3,2,51,46,5,4,90.3,0.8,8.3,316282.2242649768,180968.9091454483
W01001769,Cardiff 018A,lsoa,617,574,287,287,0,5,1,4,35,26,9,3,93.0,0.8,5.7,317717.7562848745,180513.37820103212
