area_code,area_name,census_geography,all_families,no_children,one_child_under_4,one_child_5_to_11,one_child_12_to_18,two_children_under_4,two_children_5_to_11,two_children_12_to_18,three_children_under_4,three_children_5_to_11,three_children_12_to_18,one_child_all,two_children_all,three_children_all,one_child_all_perc,two_children_all_perc,three_children_all_perc,centroid_x,centroid_y
W01001787,Cardiff 023C,lsoa,413,225,22,22,46,27,19,13,24,11,4,90,59,39,21.8,14.3,9.4,316404.2883713633,178983.53799257995
W01001658,Newport 020D,lsoa,558,272,30,35,59,57,43,28,19,11,4,124,128,34,22.2,22.9,6.1,326533.4556828396,182260.35567539692
W01001808,Cardiff 007C,lsoa,461,179,40,40,46,40,36,20,43,17,0,126,96,60,27.3,20.8,13.0,321972.16743152123,181453.1882794492
W01001241,Rhondda Cynon Taf 026D,lsoa,503,294,49,13,41,33,25,19,19,8,2,103,77,29,20.5,15.3,5.8,312724.9213323827,183568.6413201884
W01001798,Cardiff 002D,lsoa,437,248,29,17,36,36,31,23,13,3,1,82,90,17,18.8,20.6,3.9,316732.80973315146,182576.8974918238
W01001851,Cardiff 012D,lsoa,418,267,17,15,20,23,33,16,14,10,3,52,72,27,12.4,17.2,6.5,315557.6746175932,181025.6780495372
W01001854,Cardiff 004D,lsoa,460,325,19,22,23,15,22,19,7,5,3,64,56,15,13.9,12.2,3.3,316109.80670907727,181807.84630464492
W01001887,Cardiff 020A,lsoa,460,260,17,7,42,38,38,29,14,13,2,66,105,29,14.3,22.8,6.3,314977.8282943473,180017.57332257813
W01001888,Cardiff 010A,lsoa,506,272,23,26,41,36,37,32,17,21,1,90,105,39,17.8,20.8,7.7,314135.600253507,180195.4149934938
W01001890,Cardiff 021D,lsoa,427,268,29,12,34,21,20,21,11,7,4,75,62,22,17.6,14.5,5.2,316483.66176333436,179638.56904295104
W01001891,Cardiff 020C,lsoa,464,278,31,16,31,32,31,23,13,8,1,78,86,22,16.8,18.5,4.7,315410.9817886886,179715.59161292328
W01001892,Cardiff 020D,lsoa,433,276,19,9,36,18,32,20,9,10,4,64,70,23,14.8,16.2,5.3,316107.24095778906,179415.75095764425
W01001893,Cardiff 010B,lsoa,553,302,43,29,50,40,36,25,14,12,2,122,101,28,22.1,18.3,5.1,313783.2225323797,182961.56831210348
W01001948,Cardiff 006E,lsoa,514,233,81,31,41,40,43,23,12,10,0,153,106,22,29.8,20.6,4.3,312756.6307454484,180156.8968415484
W01001953,Cardiff 005G,lsoa,411,220,36,17,42,29,23,13,19,7,5,95,65,31,23.1,15.8,7.5,316858.6410710665,181727.40124843208
W01001773,Cardiff 012A,lsoa,703,355,63,29,47,62,64,24,34,23,2,139,150,59,19.8,21.3,8.4,316652.56745037227,180444.1868416113
W01001776,Cardiff 021C,lsoa,378,213,26,11,29,27,29,18,15,8,2,66,74,25,17.5,19.6,6.6,317117.4798952975,179486.9645164268
W01001949,Cardiff 005F,lsoa,347,186,56,10,18,36,14,8,16,2,1,84,58,19,24.2,16.7,5.5,316895.9772853537,181213.63481104947
W01001770,Cardiff 018B,lsoa,269,182,22,5,15,10,12,12,7,2,2,42,34,11,15.6,12.6,4.1,317842.7818681769,179648.87513925027
W01001772,Cardiff 021A,lsoa,434,271,23,22,35,18,37,14,5,9,0,80,69,14,18.4,15.9,3.2,316152.2808048271,180194.86721146267
W01001789,Cardiff 023E,lsoa,441,254,30,30,30,27,32,14,13,11,0,90,73,24,20.4,16.6,5.4,314522.84070591454,179376.87057134602
W01001792,Cardiff 005B,lsoa,436,227,23,20,38,25,30,19,33,14,7,81,74,54,18.6,17.0,12.4,317586.08927225583,181060.5024423225
W01001794,Cardiff 001C,lsoa,432,227,41,22,41,28,33,20,11,8,1,104,81,20,24.1,18.8,4.6,317712.5339723969,183125.13116749187
W01001795,Cardiff 002B,lsoa,458,230,23,42,46,38,36,16,15,11,1,111,90,27,24.2,19.7,5.9,316892.93875464424,183112.1987646707
W01001796,Cardiff 002C,lsoa,460,276,35,18,43,25,29,15,6,11,2,96,69,19,20.9,15.0,4.1,317209.97601355927,182840.9703306879
