A,B,C,D,E
16433087|Roathwell Surgery|05280369|319654.8|177194|1|100100896238|osgb1000027258143|5|5804599|1|21.3|116|Newport Road|Roath, Cardiff|South Glamorgan|CF24 1YT|Caerdydd - Cardiff|02920494537|||||Wilmington Healthcare Ltd|2024-12-01,,,
16433089|Woodlands Medical Centre|05280369|312501|175398|1|100100915697|osgb1000026983005|8|5800836|1|26.5|1|Green Farm Road|Ely, Cardiff|South Glamorgan|CF5 4RG|Caerdydd - Cardiff|02920591444|||||Wilmington Healthcare Ltd|2024-12-01,,,
16433101|Welbeing Hub @ Maelfa|05280369|320200|180096|1|10094245721|osgb5000005299750282|1|5803401|3|52.7|Maelfa|Llanedeyrn|Cardiff|South Glamorgan|CF23 9PN|Caerdydd - Cardiff|02920731671|||||Wilmington Healthcare Ltd|2024-12-01,,,,
16433115|Caerau Lane Surgery|05280369|313437|175881|1|100100915833|osgb1000027006319|4|5800283|1|18.2||Caerau Lane|Caerau, Cardiff|South Glamorgan|CF5 5HJ|Caerdydd - Cardiff|02920591855|||||Wilmington Healthcare Ltd|2024-12-01,,,
18315920|Roman Villa (Site Of)|03170240|314717|176151|2||Not Assigned|0|5800022|3|287.6||||South Glamorgan|CF5|Caerdydd - Cardiff||||||Ordnance Survey|2024-12-01,,,,
18399405|Roman Fort (Remains Of)|03170240|318036|176493|2||Not Assigned|0|5803646|3|34.8||||South Glamorgan|CF10|Caerdydd - Cardiff||||||Ordnance Survey|2024-12-01,,,,
16425878|Ely Bridge Surgery|05280369|314374|176821|1|100100915709|osgb1000027033989|3|5801386|1|20.5|23|Mill Road|Ely, Cardiff|South Glamorgan|CF5 4AD|Caerdydd - Cardiff|02920561808|||||Wilmington Healthcare Ltd|2024-12-01,,,
16425753|The Taff Riverside Practice|05280369|317072|176424|1|200002932485|osgb1000027175986|6|5802093|1|34.7||Wellington Street|Riverside, Cardiff|South Glamorgan|CF11 9SH|Caerdydd - Cardiff|02920803200|||||Wilmington Healthcare Ltd|2024-12-01,,,
16426187|The Clifton Surgery|05280369|319580.7|177169.3|1|100101042907|osgb1000027258135|5|5804599|1|23.9|151-155|Newport Road|Roath, Cardiff|South Glamorgan|CF24 1AG|Caerdydd - Cardiff|02920494539|||||Wilmington Healthcare Ltd|2024-12-01,,,
16426050|The Corporation Road Surgery|05280369|318765|174581|1|10002530027|osgb1000027214483|6|5804668|1|12.5|Unit 2 Ocean House|Clarence Road|Butetown, Cardiff|South Glamorgan|CF10 5FR|Caerdydd - Cardiff|02922930501|||||Wilmington Healthcare Ltd|2024-12-01,,,
