area_code,area_name,census_geography,all_qualifications,no_qualifications,level1,level2,level3,level4,apprenticeship,other,no_qualifications_perc,level1_perc,level2_perc,level3_perc,level4_perc,centroid_x,centroid_y
W00008896,,oa,234,31,15,24,27,123,4,10,13.2,6.4,10.3,11.5,52.6,315959.7865,177014.9265
W00009724,,oa,262,43,15,35,20,127,9,13,16.4,5.7,13.4,7.6,48.5,315178.78599999996,179596.3895
W00009127,,oa,253,75,37,36,17,59,2,27,29.6,14.6,14.2,6.7,23.3,317537.92850000004,175614.0095
W00008855,,oa,291,89,17,24,20,122,6,13,30.6,5.8,8.2,6.9,41.9,316310.45900000003,176954.4705
W00008859,,oa,278,69,33,37,27,97,5,10,24.8,11.9,13.3,9.7,34.9,315641.50450000004,176764.2915
W00009248,,oa,261,42,26,54,29,91,11,8,16.1,10.0,20.7,11.1,34.9,316811.1235,182740.8765
W00009154,,oa,410,49,30,36,39,234,11,11,12.0,7.3,8.8,9.5,57.1,317843.368,179264.5755
W00009155,,oa,159,41,12,7,21,63,6,9,25.8,7.5,4.4,13.2,39.6,318140.3945,179648.4365
W00009568,,oa,266,46,18,24,22,96,1,59,17.3,6.8,9.0,8.3,36.1,317529.7245,176188.3785
W00009754,,oa,182,48,19,29,23,44,14,5,26.4,10.4,15.9,12.6,24.2,315706.078,180038.7885
W00009402,,oa,222,33,10,17,18,133,6,5,14.9,4.5,7.7,8.1,59.9,319959.374,177998.1245
W00009756,,oa,193,70,17,27,15,45,9,10,36.3,8.8,14.0,7.8,23.3,315558.72849999997,180177.934
W00009755,,oa,224,21,21,30,32,101,9,10,9.4,9.4,13.4,14.3,45.1,315310.301,180200.2795
W00009750,,oa,230,53,32,31,18,67,18,11,23.0,13.9,13.5,7.8,29.1,315835.61199999996,180273.05599999998
W00009759,,oa,213,51,15,27,20,90,3,7,23.9,7.0,12.7,9.4,42.3,315465.45849999995,179888.445
W00009226,,oa,237,79,42,39,18,42,9,8,33.3,17.7,16.5,7.6,17.7,315263.484,179239.324
