area_code,area_name,census_geography,rooms_all,rooms_2_plus,rooms_1_plus,rooms_0,rooms_1_minus,rooms_2_minus,rooms_2_plus_perc,rooms_1_plus_perc,rooms_0_perc,rooms_1_minus_perc,rooms_2_minus_perc,centroid_x,centroid_y
W01001872,Cardiff 038B,lsoa,662,313,141,134,54,20,47.3,21.3,20.2,8.2,3.0,320101.256454791,176637.50851963987
W01001874,Cardiff 038D,lsoa,723,124,210,288,69,32,17.2,29.0,39.8,9.5,4.4,320137.30289849115,175822.17738833692
W01001694,Cardiff 036A,lsoa,878,269,202,239,125,43,30.6,23.0,27.2,14.2,4.9,319770.33786633017,176939.30945680017
W01001870,Cardiff 037A,lsoa,580,330,140,76,26,8,56.9,24.1,13.1,4.5,1.4,320570.6143402268,176863.15638893892
W01001698,Cardiff 036E,lsoa,896,208,154,270,182,82,23.2,17.2,30.1,20.3,9.2,319933.1675215942,177301.0443730184
W01001871,Cardiff 037B,lsoa,679,191,188,216,63,21,28.1,27.7,31.8,9.3,3.1,321103.75706321304,176870.4021991125
W01001869,Cardiff 038A,lsoa,623,283,182,103,36,19,45.4,29.2,16.5,5.8,3.0,320390.2191841855,177262.7097622887
W01001697,Cardiff 036D,lsoa,762,312,190,174,68,18,40.9,24.9,22.8,8.9,2.4,320347.99810449546,177368.79813788252
W01001825,Cardiff 029D,lsoa,774,416,149,146,52,11,53.7,19.3,18.9,6.7,1.4,320471.2572158646,178077.523180278
W01001875,Cardiff 037C,lsoa,1140,404,291,268,139,38,35.4,25.5,23.5,12.2,3.3,321300.4592102816,176861.40127526995
W01001828,Cardiff 024D,lsoa,637,510,81,29,15,2,80.1,12.7,4.6,2.4,0.3,320299.15894635057,178900.51173020474
W01001868,Cardiff 022D,lsoa,609,350,123,102,26,8,57.5,20.2,16.7,4.3,1.3,322010.5197306038,179549.00423104814
W01001883,Cardiff 016C,lsoa,675,322,116,188,36,13,47.7,17.2,27.9,5.3,1.9,323115.9145795123,180503.62492457664
W01001884,Cardiff 013D,lsoa,527,85,169,222,46,5,16.1,32.1,42.1,8.7,0.9,323797.3879479243,180700.30339931662
